Season,Episode,Title,Year,Total votes,Average rating,z-score
12,6,The Computer Wore Menace Shoes,2000,"1,828.00",7.70,0.64
12,7,The Great Money Caper,2000,"1,681.00",7.30,0.15
12,8,Skinner's Sense of Snow,2000,"2,341.00",7.90,0.88
12,9,HOMR,2001,"2,061.00",8.10,1.12
12,10,Pokey Mom,2001,"1,995.00",7.10,-0.09
12,11,Worst Episode Ever,2001,"1,728.00",7.40,0.27
12,12,Tennis the Menace,2001,"1,686.00",6.80,-0.46
12,13,Day of the Jackanapes,2001,"1,556.00",7.10,-0.09
12,14,New Kids on the Blecch,2001,"1,833.00",7.20,0.03
12,15,Hungry Hungry Homer,2001,"1,688.00",7.50,0.39
12,16,Bye Bye Nerdy,2001,"1,641.00",6.70,-0.58
12,17,Simpson Safari,2001,"1,669.00",6.80,-0.46
12,18,Trilogy of Error,2001,"2,517.00",8.60,1.73
12,19,I'm Goin' to Praiseland,2001,"1,928.00",7.20,0.03
12,20,Children of a Lesser Clod,2001,"1,529.00",7.20,0.03
12,21,Simpsons Tall Tales,2001,159.00,7.00,-0.22
13,1,Treehouse of Horror XII,2001,"1,928.00",7.60,0.51
13,2,The Parent Rap,2001,"1,582.00",7.10,-0.09
13,3,Homer the Moe,2001,"1,561.00",7.20,0.03
13,4,A Hunka Hunka Burns in Love,2001,"1,513.00",7.10,-0.09
13,5,The Blunder Years,2001,"1,982.00",7.60,0.51
13,6,She of Little Faith,2001,"1,632.00",7.10,-0.09
13,7,Brawl in the Family,2002,"1,500.00",6.80,-0.46
13,8,Sweets and Sour Marge,2002,"1,483.00",6.90,-0.34
13,9,Jaws Wired Shut,2002,"1,537.00",7.30,0.15
13,10,Half-Decent Proposal,2002,"1,879.00",7.30,0.15
13,11,The Bart Wants What It Wants,2002,"1,457.00",7.00,-0.22
13,12,The Lastest Gun in the West,2002,"1,485.00",6.50,-0.82
13,13,The Old Man and the Key,2002,"1,440.00",6.50,-0.82
13,14,Tales from the Public Domain,2002,"1,469.00",7.20,0.03
13,15,Blame It on Lisa,2002,"1,531.00",7.00,-0.22
13,16,Weekend at Burnsie's,2002,"1,697.00",7.70,0.64
13,17,Gump Roast,2002,"1,593.00",5.50,-2.04
13,18,I Am Furious Yellow,2002,162.00,7.70,0.64
13,19,The Sweetest Apu,2002,"1,396.00",6.80,-0.46
13,20,Little Girl in the Big Ten,2002,"1,430.00",7.10,-0.09
13,21,The Frying Game,2002,"1,466.00",7.00,-0.22
13,22,Papa's Got a Brand New Badge,2002,"2,068.00",7.80,0.76
14,1,Treehouse of Horror XIII,2002,"1,804.00",7.60,0.51
14,2,How I Spent My Strummer Vacation,2002,"1,615.00",7.40,0.27
14,3,Bart vs. Lisa vs. 3rd Grade,2002,"1,518.00",7.10,-0.09
14,4,Large Marge,2002,"1,564.00",7.10,-0.09
14,5,Helter Shelter,2002,"1,484.00",6.80,-0.46
14,6,The Great Louse Detective,2002,"1,528.00",7.30,0.15
14,7,Special Edna,2003,"1,482.00",7.00,-0.22
14,8,The Dad Who Knew Too Little,2003,"1,454.00",7.30,0.15
14,9,The Strong Arms of the Ma,2003,"1,528.00",6.80,-0.46
14,10,Pray Anything,2003,"1,400.00",6.80,-0.46
14,11,Barting Over,2003,"1,499.00",6.70,-0.58
14,12,I'm Spelling as Fast as I Can,2003,"1,413.00",7.20,0.03
14,13,A Star Is Born Again,2003,"1,427.00",6.90,-0.34
14,14,Mr. Spritz Goes to Washington,2003,"1,370.00",6.80,-0.46
14,15,C.E.D'oh,2003,"1,307.00",7.20,0.03
14,16,Scuse Me While I Miss the Sky,2003,"1,332.00",7.10,-0.09
14,17,Three Gays of the Condo,2003,"1,478.00",7.20,0.03
14,18,"Dude, Where's My Ranch?",2003,"1,487.00",6.90,-0.34
14,19,Old Yeller-Belly,2003,"1,373.00",6.70,-0.58
14,20,"Brake My Wife, Please",2003,"1,350.00",6.70,-0.58
14,21,The Bart of War,2003,"1,390.00",6.60,-0.70
14,22,Moe Baby Blues,2003,"2,019.00",7.60,0.51
15,1,Treehouse of Horror XIV,2003,"1,760.00",7.50,0.39
15,2,My Mother the Carjacker,2003,"1,442.00",7.20,0.03
15,3,The President Wore Pearls,2003,"1,495.00",6.90,-0.34
15,4,The Regina Monologues,2003,"1,559.00",7.00,-0.22
15,5,The Fat and the Furriest,2003,"1,400.00",7.10,-0.09
15,6,"Today, I Am a Clown",2003,"1,348.00",6.50,-0.82
15,7,Tis the Fifteenth Season,2003,"1,410.00",7.10,-0.09
15,8,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",2004,"1,374.00",6.70,-0.58
15,9,"I, (Annoyed Grunt)-Bot",2004,"1,453.00",7.30,0.15
15,10,Diatribe of a Mad Housewife,2004,"1,399.00",7.20,0.03
15,11,Margical History Tour,2004,"1,368.00",7.10,-0.09
15,12,Milhouse Doesn't Live Here Anymore,2004,"1,389.00",7.20,0.03
15,13,Smart & Smarter,2004,"1,403.00",7.10,-0.09
15,14,The Ziff Who Came to Dinner,2004,"1,340.00",6.70,-0.58
15,15,Co-Dependent's Day,2004,"1,364.00",6.70,-0.58
15,16,The Wandering Juvie,2004,"1,414.00",7.00,-0.22
15,17,My Big Fat Geek Wedding,2004,"1,393.00",6.60,-0.70
15,18,Catch 'Em If You Can,2004,"1,421.00",7.00,-0.22
